"titre";"auteur";"annee_creation";"lieu_exposition";"naissance_deces";"domaine";"technique";"hauteur_cm";"longueur_cm";"annee_acquisition";"type_acquisition";"precisions_acquisitions";"numero_inventaire";"lien_navigart"
"Portrait du père de l'artiste";"Jules Elie DELAUNAY";1860;"Musée d'Arts - Palais - Salle  15";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Peinture";"Vêtu d'une redingote marron et d'un gilet gris, il est vu de face, assis dans un fauteuil ; la main gauche est gantée de grisHuile sur toile";93;73.5;1903;"Mode d'acquisition non renseigné";"Acquisition en 1903";"915";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004134"
"Jeune homme poussant une brouette";"Maurice CHABAS";1902;"";"1862, Nantes (Loire-Atlantique, France) - 1947, Versailles (Yvelines, France)";"Dessin";"Ensemble de 18 études pour les panneaux décoratifs de la gare de Lyon-PerracheSanguines et réhéaus de craie blanche sur papier brun, contrecollé sur papier et encadré d'un fil doré";38.5;15.9;1902;"Achat";"Achat à l'artiste en 1902";"1310";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007894"
"Jeune femme courant vers la droite, accompagnée de petits génies ailés, tenant des fruits et des raisins (L'Automne)";"Eugène FROMENT-DELORMEL";NA;"";"1820, Paris (France) - 1900, Paris (France)";"Dessin";"Aquarelle et gouache sur papier";NA;NA;1902;"Don";"Don en 1902";"1508";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008528"
"Pêcheurs causant";"Jean-Emile LABOUREUR";1923;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveGravure au burin, tirage sur papier";32.6;25;1928;"Achat";"Achat à l'artiste en 1928";"2549";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002237"
"Le filtre";"MORIN-JEAN (Jean Alexis MORIN, dit)";1921;"";"1877, Paris (France) - 1940, Paris (France)";"Estampe";"Gravure sur bois sur papier";24.6;28.7;1951;"Don";"Don de Mlle Germaine Sauvaget-Morin-Jean en 1951";"951.4.64.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002877"
"Illustrations pour les Eglogues de Virgile";"Adolphe GIRALDON";1906;"";"1855, Marseille (Bouches-du-Rhône, France) - 1933, ?";"Estampe";"Estampe, EpreuveXylographie, tirage sur papier Arches";33;22.2;1925;"Don";"Don de l'artiste en 1925";"2509";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008256"
"Le café du Commerce";"Jean-Emile LABOUREUR";1913;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveGravure au burin et eau-forte, tirage sur papier";39.5;50.3;1977;"Don";"Don de M Sylvain Laboureur en 1977";"977.6.1.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082131"
"Les Adieux";"Léon GIRARDET";NA;"";"1857, Versailles (Yvelines, France) - 1895, Paris (France)";"Peinture";"Une jeune femme en costume de """"merveilleuse"""" descend les marches d'un perron, au bas duquel un jeune officier se prépare à lui baiser la main.Huile sur toile";55;38;1908;"Legs";"Legs Collection Aristide David et fils en 1908";"997";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004180"
"Ferme à Blanche-Couronne";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";10.5;7.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5671";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069726"
"""""La Fortune"""", de face, posée sur une roue ailée, tient la corne d'Abondance";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier calque";15.7;9.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5041";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067506"
"Touristes en Bretagne";"Jean-Emile LABOUREUR";1928;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveGravure au burin, tirage sur papier Rives";24.8;32.7;1928;"Achat";"Achat à l'artiste en 1928";"2594";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002282"
"Etude de bord de mer - Palerme";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Crayon sur papier";9;14.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"2016.0.95.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000144325"
"Consolation";"Eugène FROMENT-DELORMEL";NA;"";"1820, Paris (France) - 1900, Paris (France)";"Dessin";"Aquarelle et gouache sur papier";NA;NA;1902;"Don";"Don en 1902";"1511";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008531"
"";"Giovanni Battista PIRANESI";NA;"";"1720, Mogliano Veneto (Italie) - 1778, Rome (Italie)";"Estampe";"Estampe, EpreuveGravure n°124Eau-forte sur papier";NA;NA;NA;"Dépôt";"";"";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000136439"
"Sujet à genoux (jambe gauche, tête et bras demi-levés";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";31.3;22;NA;"Mode d'acquisition non renseigné";"Acquisition";"4117";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065040"
"Portrait d'homme en costume du XVIe siècle";"Emmanuel PHELIPPES-BEAULIEUX";1862;"";"1819, Nantes (Loire-Atlantique, France) - 1874, Nantes (Loire-Atlantique, France)";"Estampe";"Eau-forte sur papier";5.1;3.5;1948;"Don";"Don de M Michel Noury en 1948";"3513";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005854"
"Ferme dans les arbres";"Maxime MAUFRA";1890;"";"1861, Nantes (Loire-Atlantique, France) - 1918, Poncé-sur-le-Loir (Sarthe, France)";"Peinture";"Huile sur toile";15.7;23.4;1912;"Don";"Don de l'artiste en 1912";"1924";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002690"
"Homme nu dans un mouvement de danse";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Crayon et fusain sur papier";34;25;NA;"Mode d'acquisition non renseigné";"Acquisition";"5600";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069492"
"Etude de nu : épaule droite d'homme";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Crayon sur papier  filigrané """"collé""""";31.9;22.6;1983;"Achat";"Achat à M Philippe Merson en 1983";"983.21.16.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003808"
"Portrait du docteur Maurice Boulade-Périgois";"Jean-Alexandre CORABOEUF";1937;"";"1870, Pouillé-les-Côteaux (Loire-Atlantique, France) - 1947, Paris (France)";"Dessin";"Mine graphite sur papier contrecollé sur carton";44;31.8;2015;"Donation";"Donation Roseline Besnard-Viguier bis en 2015";"2015.1.44.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000149145"
"Etude de la draperie du buste d'Abraham à gauche";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";19.9;16.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"4276";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007103"
"";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";13.5;9;NA;"Mode d'acquisition non renseigné";"Acquisition";"Sans inventaire";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000054012"
"Pose et gestes du bûcheron";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Crayon et fusain sur papier pelure";13;10.1;NA;"Mode d'acquisition non renseigné";"Acquisition";"5009";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067474"
"Personnage, genou en terre, mains croisées sur la poitrine, deux petites cornes sur la tête";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";15.5;21.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"4867";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067333"
"Le homard";"Pierre-Alexis LESAGE";1926;"";"1872, Nantes (Loire-Atlantique, France) - 1932, Nantes (Loire-Atlantique, France)";"Peinture";"Huile sur carton";50.8;61.1;1958;"Don";"Don de Mme Brillouet en 1958";"6646";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002544"
"La côte de Saint-Sébastien";"MORIN-JEAN (Jean Alexis MORIN, dit)";NA;"";"1877, Paris (France) - 1940, Paris (France)";"Estampe";"Gravure au burin sur papier";37.5;55.4;1951;"Don";"Don de Mlle Germaine Sauvaget-Morin-Jean en 1951";"951.4.19.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002832"
"Vieillard méditant sur une tête de mort";"Eberhard KEILHAU dit Monsù BERNARDO";NA;"";"1624, Helsinge (Danemark) - 1687, Rome (Italie)";"Peinture";"Huile sur toile";77.1;63.7;1810;"Achat";"Achat à M François Cacault en 1810";"145";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004733"
"Etude d'arbres";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Crayon sur papier";36;24.9;NA;"Mode d'acquisition non renseigné";"Acquisition";"2016.0.52.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000144281"
"Persée luttant contre le monstre descendant du ciel, glaive en main";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Crayon fusain sur papier";47.5;30.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4773";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066315"
"Tête d'un religieux, visage de 3/4 légèrement penché";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb";16.6;10.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"5705";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069755"
"Jésus chassant les marchands du temple";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Sanguine sur papier";28;22.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"6024";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007853"
"Prophète assis, index droit touchant le front";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Crayon, fusain sur papier";32;33;NA;"Mode d'acquisition non renseigné";"Acquisition";"5511";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069308"
"Nantes, rue Courtine, le soir";"Henry Wilfrid DEVILLE";NA;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte sur papier japonais";27.9;17.6;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3682";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082037"
"Madeleine Levesque";"Jean-Baptiste BAUJAULT";NA;"";"1828, La Crèche (Deux-Sèvres, France) - 1899, La Crèche (Deux-Sèvres, France)";"Sculpture";"MédaillonPlâtre";47.5;40;NA;"Mode d'acquisition non renseigné";"Acquisition";"14.8.2.S";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000114812"
"Deux études de lanceurs de disques";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier";27.4;19.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4735";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066278"
"Etude de branches";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Pierre noire, rehauts de craie blanche sur papier brun";45;30.1;NA;"Mode d'acquisition non renseigné";"Acquisition";"2016.0.34.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143822"
"Fontainebleau";"Lancelot-Théodore TURPIN DE CRISSE";1848;"";"1782, Paris (France) - 1859, Paris (France)";"Dessin";"plume et lavis";51.2;72.4;NA;"Legs";"Legs";"1658";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006996"
"Ancenis (vieux château)";"Félix BENOIST";NA;"";"1818, Saumur (Maine-et-Loire, France) - 1896, Nantes (Loire-Atlantique, France)";"Estampe";"Série : Nantes et la Loire-InférieureLithographie sur papier Canson";18.2;28.6;NA;"Dépôt Etat";"Acquisition en 1876EtatDépôt au Musée des Beaux-Arts de Nantes en 1876";"3283 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005688"
"Un ange";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb, rehauts de gouache sur papier calque";25;17.1;1897;"Don";"Don en 1897";"5191";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007215"
"Etude pour les feuilles mortes";"Alexandre CHANTRON";NA;"";"1842, Nantes (Loire-Atlantique, France) - 1918, Nantes (Loire-Atlantique, France)";"Dessin";"Fusian, mise au carreau sur papier brun contrecollé sur papier";54.4;99.6;NA;"Mode d'acquisition non renseigné";"Acquisition";"NI (1)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000121795"
"Petite fontaine l'hiver à Nancy";"Henry Wilfrid DEVILLE";1927;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier";36;24.3;1949;"Legs";"Legs de M Deville en 1949";"6330";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005723"
"La procession";"Jean-Emile LABOUREUR";1899;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, Matrice boisBois d'impression gravé au canif";22.7;30;1966;"Don";"Don de Mme Laboureur en 1966";"966.12.1.B";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003858"
"Femme drapée";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain";35.5;22.8;NA;"Mode d'acquisition non renseigné";"Acquisition";"6127";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000165541"
"David vainqueur de Goliath";"XVIIe ITALIE,";NA;"";"?, ? - ?, ?";"Peinture";"Huile sur toile";97.2;71;1810;"Achat";"Achat à M François Cacault en 1810";"2980";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004828"
"Homme debout, 3/4 face, jambe gauche sur la pointe du pied, bras droit levé";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Sanguine  sur papier";33;23.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"5982";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007806"
"Plans de l'esquisse du """"Combat de Nazareth""""";"Antoine-Jean GROS";NA;"";"1771, Paris (France) - 1835, Meudon (Hauts-de-Seine, France)";"Dessin";"Deux plans : 1/2 Plan envoyé par le Général Junot, 2/2 Disposition générale du tableau d'après le plan";33;47.8;NA;"Mode d'acquisition non renseigné";"Acquisition";"1529";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004450"
"Le marais salant";"Maxime MAUFRA";1884;"";"1861, Nantes (Loire-Atlantique, France) - 1918, Poncé-sur-le-Loir (Sarthe, France)";"Peinture";"Huile sur toile";40;54;1912;"Don";"Don de l'artiste en 1912";"1914";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002681"
"Vers l'Infini";"Blanche MORIA";1900;"";"1859, Paris (France) - 1927, Paris (France)";"Sculpture";"Haut-reliefMarbre";292;200;NA;"Dépôt Fonds national d'art contemporain";"Achat à l'artiste en 1900Fonds national d'art contemporainDépôt au Musée des Beaux-Arts de Nantes en 1903";"1834 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002797"
"Vue générale de la ville de Neuwiller et du Herren-Stein";"Adolphe d' HASTREL";1850;"";"1805, Grand-Est - 1875, ?";"Estampe";"Lithographie sur papier";32;49;1852;"Don";"Don de M Clarke de Feltre en 1852";"3104";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005739"
"Enfant nu, de face, profil perdu, jambes en avant";"Alexis Marie Louis DOUILLARD";NA;"";"1835, Nantes (Loire-Atlantique, France) - 1905, Bellevue-la-Montagne (Haute-Loire, France)";"Dessin";"Sanguine sur papier";27;20;1906;"Don";"Don en 1906";"1497";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007920"
"Etude de ronce";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Pierre noire et rehauts de craie blanche sur papier vert gris";30.9;48;NA;"Mode d'acquisition non renseigné";"Acquisition";"2016.0.26.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143814"
"Portrait d'Adrien, fils du peintre, en médaillon";"Jean Marius FOUQUE (Jean Baptiste Marie FOUQUE, dit)";NA;"";"1819, Arles (Bouches-du-Rhône, France) - 1880, Lorient (Morbihan, France)";"Peinture";"Huile sur toile";65;54;2013;"Don";"Don Bertrand et Frédéric Fouque en 2013";"13.9.6.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000105821"
"Côte de Saint-Sébastien, Nantes. Maison de pêcheurs";"Antoine BRIENT";1936;"";"1905, Rezé (Loire-Atlantique, France) - 1936, Nantes (Loire-Atlantique, France)";"Estampe";"Eau-forte sur papier";29.9;33.8;1955;"Achat";"Achat en 1955";"6489";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001365"
"Plan général des suppressions et adjonctions proposées.";"Joseph Henri DEVERIN";1902;"";"1846, ? - 1921, ?";"Dessin";"Plume et lavis d'encre de chine";42;52;1904;"Don";"Don de l'artiste en 1904";"1471";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008006"
"Suger est fait abbé de saint Denis";"Juste EGMONT";1645;"Musée d'Arts - Palais - Salle 6";"1601, Leyde (Pays-Bas) - 1674, Anvers (Belgique)";"Peinture";"Appartenait à un ensemble de 6 épisodes de la vie de Suger, entourant le portrait de Suger (inv.756), dont trois sont conservés à NantesHuile sur bois";55.2;50.8;1989;"Don";"Don du Crédit industriel de l'Ouest en 1989";"989.2.1.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005058"
